"Year","Month","tasmin","tasmax","pr","PotEvap","gcm"
2018,11,272.7925973,280.3993177,101.9839581,16.09159868,"GFDL-ESM2G"
2018,12,268.0192961,274.2435909,181.345638,4.112091488,"GFDL-ESM2G"
2019,1,270.1628664,276.3805429,153.0978478,7.939959347,"GFDL-ESM2G"
2019,2,267.5567567,275.9517964,52.34075154,9.96268141,"GFDL-ESM2G"
2019,3,269.5780585,279.1327584,37.00834405,29.74311803,"GFDL-ESM2G"
2019,4,272.6833215,283.1746366,58.1750555,61.17279348,"GFDL-ESM2G"
2019,5,273.7793565,286.2831217,32.75472785,98.86819427,"GFDL-ESM2G"
2019,6,279.7071919,293.1165713,44.94314988,139.4954399,"GFDL-ESM2G"
2019,7,286.3788673,301.8161172,18.23703875,203.6151176,"GFDL-ESM2G"
2019,8,283.8131837,298.371302,5.299046119,153.9801621,"GFDL-ESM2G"
2019,9,279.1865882,295.4683475,6.114310144,116.0927428,"GFDL-ESM2G"
2019,10,277.9559025,291.2593872,30.85195223,62.35709517,"GFDL-ESM2G"
2019,11,273.6955389,280.7496352,157.995317,17.30707532,"GFDL-ESM2G"
2019,12,270.598351,276.6894604,146.900864,8.087151349,"GFDL-ESM2G"
2020,1,268.8176272,275.6309607,122.6089889,7.256639814,"GFDL-ESM2G"
2020,2,271.6564849,280.7788741,43.14015058,21.00331706,"GFDL-ESM2G"
2020,3,273.784527,284.3584255,51.93253524,47.83556368,"GFDL-ESM2G"
2020,4,275.8468787,288.641252,52.7364442,91.4258584,"GFDL-ESM2G"
2020,5,280.6627179,294.8222819,29.4073606,149.6265832,"GFDL-ESM2G"
2020,6,282.3869308,296.7147875,69.70815795,165.1810586,"GFDL-ESM2G"
2020,7,286.2935027,303.6400024,0.910994151,207.3230075,"GFDL-ESM2G"
2020,8,286.0462221,303.2329866,9.605570661,187.9528033,"GFDL-ESM2G"
2020,9,281.6727724,296.6359429,28.50558226,116.011486,"GFDL-ESM2G"
2020,10,278.619874,291.8765855,40.49119968,72.12706363,"GFDL-ESM2G"
2020,11,272.5514549,281.9727403,75.28235506,19.25063925,"GFDL-ESM2G"
2020,12,268.7695808,274.8699721,169.5898928,5.985875714,"GFDL-ESM2G"
2021,1,266.1696277,273.4838794,47.51311507,4.625799381,"GFDL-ESM2G"
2021,2,265.3260546,274.8220457,68.88041159,7.343400488,"GFDL-ESM2G"
2021,3,272.0302746,281.8007268,114.2905332,39.63675915,"GFDL-ESM2G"
2021,4,273.7326206,284.4704261,22.6920869,70.32974746,"GFDL-ESM2G"
2021,5,276.9409589,290.165132,26.58104861,122.3102149,"GFDL-ESM2G"
2021,6,281.1904243,294.1565813,58.83449386,140.5103563,"GFDL-ESM2G"
2021,7,285.183517,301.578047,1.956745345,206.2917075,"GFDL-ESM2G"
2021,8,282.5173698,297.8901819,12.06710623,152.0366912,"GFDL-ESM2G"
2021,9,278.7448008,292.7781244,75.09593545,95.13697617,"GFDL-ESM2G"
2021,10,274.2608821,287.0740156,15.28866297,48.5393673,"GFDL-ESM2G"
2021,11,270.2191008,276.5619284,99.80601739,9.33455165,"GFDL-ESM2G"
2021,12,269.3933725,275.3137732,48.98779613,6.678113966,"GFDL-ESM2G"
2022,1,273.8451011,279.9866935,146.6558819,14.54898615,"GFDL-ESM2G"
2022,2,272.1544017,280.628898,96.89927416,21.80980375,"GFDL-ESM2G"
2022,3,273.9213768,285.0546573,99.29931535,56.13259611,"GFDL-ESM2G"
2022,4,276.1159607,291.0287054,71.69757042,108.2227725,"GFDL-ESM2G"
2022,5,280.1507384,294.5880096,54.86487203,155.3592452,"GFDL-ESM2G"
2022,6,279.4957666,292.8984604,34.65470164,142.3220022,"GFDL-ESM2G"
2022,7,283.4640053,298.9350448,27.70773861,169.2659323,"GFDL-ESM2G"
2022,8,281.6511409,298.2063656,24.72446,145.2971243,"GFDL-ESM2G"
2022,9,282.3675692,298.3379416,7.322519617,112.1847523,"GFDL-ESM2G"
2022,10,276.7034966,291.3900547,7.710126882,62.65640534,"GFDL-ESM2G"
2022,11,269.9394807,279.4517749,90.20967316,14.35037474,"GFDL-ESM2G"
2022,12,273.120862,279.3559461,91.94020519,12.32706469,"GFDL-ESM2G"
2023,1,271.7667637,277.6640295,84.31165858,9.861106722,"GFDL-ESM2G"
2023,2,271.9974872,280.5482419,74.82731216,19.7304327,"GFDL-ESM2G"
2023,3,273.3255993,283.6793605,86.09225081,49.45483196,"GFDL-ESM2G"
2023,4,276.6962908,290.49358,49.76591104,103.6301711,"GFDL-ESM2G"
2023,5,278.3436805,291.6978762,35.61559553,132.6200763,"GFDL-ESM2G"
2023,6,283.152947,297.8880849,23.69383556,174.1874367,"GFDL-ESM2G"
2023,7,284.1311083,299.5991239,6.483682017,177.5585781,"GFDL-ESM2G"
2023,8,283.5969385,301.3666716,1.481132805,181.0851939,"GFDL-ESM2G"
2023,9,279.6111908,296.1879686,4.026729869,117.3099828,"GFDL-ESM2G"
2023,10,275.3669403,287.0073201,63.35270637,52.64776162,"GFDL-ESM2G"
2023,11,273.7575382,280.7823144,96.49357267,18.78775694,"GFDL-ESM2G"
2023,12,269.9492291,276.3507773,163.7087368,7.777986021,"GFDL-ESM2G"
2024,1,269.0383831,276.2987142,102.0020266,7.808613338,"GFDL-ESM2G"
2024,2,269.7057556,277.3858938,98.13269808,13.6254511,"GFDL-ESM2G"
2024,3,271.021425,280.7624604,51.02949397,37.56209071,"GFDL-ESM2G"
2024,4,274.0987514,287.505143,18.7884756,85.09206858,"GFDL-ESM2G"
2024,5,277.7298993,292.1004322,30.31305558,138.1137163,"GFDL-ESM2G"
2024,6,284.346072,298.8641436,14.07573455,189.1343286,"GFDL-ESM2G"
2024,7,283.1514332,298.0500436,33.8970427,170.2650444,"GFDL-ESM2G"
2024,8,283.1597935,299.149892,11.59145361,156.2641436,"GFDL-ESM2G"
2024,9,279.9091024,294.8230257,18.33591623,104.2882385,"GFDL-ESM2G"
2024,10,276.0957893,290.1489457,14.59776895,67.46647377,"GFDL-ESM2G"
2024,11,273.8577819,282.5682123,75.26601644,22.1561339,"GFDL-ESM2G"
2024,12,270.4555684,276.9678793,126.4473236,8.96283175,"GFDL-ESM2G"
2025,1,270.7653351,276.9515425,204.8566534,9.873032138,"GFDL-ESM2G"
2025,2,271.0723547,278.9592908,155.589658,17.46655108,"GFDL-ESM2G"
2025,3,271.8712984,282.4684324,48.88556648,44.03270266,"GFDL-ESM2G"
2025,4,272.4219529,283.5990922,64.13846417,68.36437563,"GFDL-ESM2G"
2025,5,277.9884816,290.8185499,22.16802963,123.1605896,"GFDL-ESM2G"
2025,6,283.7188868,299.5521523,2.156936456,198.7752166,"GFDL-ESM2G"
2025,7,282.8538441,298.5169825,5.421937929,183.5242075,"GFDL-ESM2G"
2025,8,283.1889963,298.8883061,23.3399105,156.2692208,"GFDL-ESM2G"
2025,9,278.9469415,295.1445016,6.866761591,117.487671,"GFDL-ESM2G"
2025,10,274.9876401,288.0669093,29.68439068,57.87702567,"GFDL-ESM2G"
2025,11,272.2887171,279.3831453,223.1796524,15.00328899,"GFDL-ESM2G"
