Year	Ag_District	Ag_District_Code	Data_Item	Value	County	JURISDIC_5	Group
1947	EAST CENTRAL	50	CORN, GRAIN	41	Adams	53001	CORN
1948	EAST CENTRAL	50	CORN, GRAIN	40	Adams	53001	CORN
1949	EAST CENTRAL	50	CORN, GRAIN	14	Adams	53001	CORN
1950	EAST CENTRAL	50	CORN, GRAIN	30	Adams	53001	CORN
1951	EAST CENTRAL	50	CORN, GRAIN	15	Adams	53001	CORN
1952	EAST CENTRAL	50	CORN, GRAIN	22.2	Adams	53001	CORN
1953	EAST CENTRAL	50	CORN, GRAIN	21.9	Adams	53001	CORN
1954	EAST CENTRAL	50	CORN, GRAIN	59	Adams	53001	CORN
1955	EAST CENTRAL	50	CORN, GRAIN	82	Adams	53001	CORN
1956	EAST CENTRAL	50	CORN, GRAIN	70	Adams	53001	CORN
1957	EAST CENTRAL	50	CORN, GRAIN	72	Adams	53001	CORN
1958	EAST CENTRAL	50	CORN, GRAIN	76	Adams	53001	CORN
1959	EAST CENTRAL	50	CORN, GRAIN	93	Adams	53001	CORN
1960	EAST CENTRAL	50	CORN, GRAIN	85	Adams	53001	CORN
1961	EAST CENTRAL	50	CORN, GRAIN	95	Adams	53001	CORN
1962	EAST CENTRAL	50	CORN, GRAIN	90	Adams	53001	CORN
1963	EAST CENTRAL	50	CORN, GRAIN	90.5	Adams	53001	CORN
1964	EAST CENTRAL	50	CORN, GRAIN	100	Adams	53001	CORN
1965	EAST CENTRAL	50	CORN, GRAIN	80	Adams	53001	CORN
1966	EAST CENTRAL	50	CORN, GRAIN	105	Adams	53001	CORN
1967	EAST CENTRAL	50	CORN, GRAIN	114.3	Adams	53001	CORN
1968	EAST CENTRAL	50	CORN, GRAIN	109	Adams	53001	CORN
1969	EAST CENTRAL	50	CORN, GRAIN	115	Adams	53001	CORN
1970	EAST CENTRAL	50	CORN, GRAIN	117	Adams	53001	CORN
1971	EAST CENTRAL	50	CORN, GRAIN	113.2	Adams	53001	CORN
1972	EAST CENTRAL	50	CORN, GRAIN	119	Adams	53001	CORN
1973	EAST CENTRAL	50	CORN, GRAIN	127.2	Adams	53001	CORN
1974	EAST CENTRAL	50	CORN, GRAIN	95	Adams	53001	CORN
1975	EAST CENTRAL	50	CORN, GRAIN	104.1	Adams	53001	CORN
1976	EAST CENTRAL	50	CORN, GRAIN	105	Adams	53001	CORN
1977	EAST CENTRAL	50	CORN, GRAIN	132	Adams	53001	CORN
1978	EAST CENTRAL	50	CORN, GRAIN	129	Adams	53001	CORN
1979	EAST CENTRAL	50	CORN, GRAIN	130	Adams	53001	CORN
1980	EAST CENTRAL	50	CORN, GRAIN	130	Adams	53001	CORN
1981	EAST CENTRAL	50	CORN, GRAIN	130	Adams	53001	CORN
1982	EAST CENTRAL	50	CORN, GRAIN	140	Adams	53001	CORN
1983	EAST CENTRAL	50	CORN, GRAIN	145	Adams	53001	CORN
1984	EAST CENTRAL	50	CORN, GRAIN	144	Adams	53001	CORN
1985	EAST CENTRAL	50	CORN, GRAIN	154	Adams	53001	CORN
1986	EAST CENTRAL	50	CORN, GRAIN	149	Adams	53001	CORN
1987	EAST CENTRAL	50	CORN, GRAIN	140	Adams	53001	CORN
1988	EAST CENTRAL	50	CORN, GRAIN	136	Adams	53001	CORN
1989	EAST CENTRAL	50	CORN, GRAIN	132	Adams	53001	CORN
1990	EAST CENTRAL	50	CORN, GRAIN	152	Adams	53001	CORN
1991	EAST CENTRAL	50	CORN, GRAIN	140.2	Adams	53001	CORN
