"Year","Month","tasmin","tasmax","pr","PotEvap","gcm"
2018,11,272.6364808,282.9507092,75.80466467,20.61730456,"inmcm4"
2018,12,266.9639043,273.5805375,124.6992489,4.418063118,"inmcm4"
2019,1,270.9854468,276.752023,214.5616234,9.075543604,"inmcm4"
2019,2,270.0113804,279.3448108,12.28118439,16.57720125,"inmcm4"
2019,3,272.8098815,281.9570142,58.58449007,46.08675208,"inmcm4"
2019,4,273.3317305,286.8281014,28.0281659,85.70864321,"inmcm4"
2019,5,279.3936479,292.2066999,33.13855636,135.2424494,"inmcm4"
2019,6,281.8461992,292.8292503,107.1675574,139.8923491,"inmcm4"
2019,7,283.720577,300.6911801,1.890870356,196.0001017,"inmcm4"
2019,8,282.5246331,300.1308424,9.60638792,168.464734,"inmcm4"
2019,9,280.200747,299.3766372,15.65099767,125.2269194,"inmcm4"
2019,10,276.6199633,287.3107599,56.24507741,52.32796292,"inmcm4"
2019,11,269.5059571,277.6733649,133.0800297,11.16316104,"inmcm4"
2019,12,269.510893,275.2055776,128.225771,6.821401163,"inmcm4"
2020,1,269.6873404,275.3154708,127.6408026,7.994936786,"inmcm4"
2020,2,267.3467872,278.6115049,11.29311026,13.9105995,"inmcm4"
2020,3,272.5575403,282.907889,68.51626345,46.78055471,"inmcm4"
2020,4,272.1279517,284.6194645,35.18244586,71.23874267,"inmcm4"
2020,5,277.6901962,291.9217729,17.84165343,128.0346238,"inmcm4"
2020,6,281.6291589,296.6992229,30.04893006,170.4795,"inmcm4"
2020,7,282.7411315,303.3895169,1.466433021,227.5880788,"inmcm4"
2020,8,282.8202305,300.0704866,7.141081386,176.3353697,"inmcm4"
2020,9,279.8839267,296.1662127,4.675187011,116.4597745,"inmcm4"
2020,10,274.8853375,289.8469124,29.52086634,63.52561306,"inmcm4"
2020,11,272.9977434,282.3905977,62.88527737,17.87072513,"inmcm4"
2020,12,271.4526899,277.5928503,101.4156729,8.563895598,"inmcm4"
2021,1,267.6207762,273.8946179,126.5010487,5.148419999,"inmcm4"
2021,2,271.981468,280.6877357,68.01761439,19.19549737,"inmcm4"
2021,3,272.9639251,283.9811646,78.92080805,47.46076664,"inmcm4"
2021,4,274.6657092,286.2065392,63.51415231,79.15270739,"inmcm4"
2021,5,277.6793642,289.9100697,43.16533796,122.440526,"inmcm4"
2021,6,280.0159666,295.9028057,10.0063103,167.5803593,"inmcm4"
2021,7,284.393796,301.8952448,10.68632187,200.133567,"inmcm4"
2021,8,282.0756084,302.1485725,1.538805019,189.5625729,"inmcm4"
2021,9,280.4434422,299.6911881,14.15886974,134.9057552,"inmcm4"
2021,10,273.9336359,292.5223097,9.465000599,68.86546048,"inmcm4"
2021,11,272.26101,281.2778278,105.8768526,17.83135018,"inmcm4"
2021,12,267.7857083,273.8713137,119.3568464,4.436597091,"inmcm4"
2022,1,270.3568706,276.2344977,113.148203,8.958510923,"inmcm4"
2022,2,267.8952124,275.7143929,83.2395002,10.69378489,"inmcm4"
2022,3,273.6370759,284.3370791,57.96893151,50.88842975,"inmcm4"
2022,4,273.4580436,283.5636338,76.14910467,66.67959576,"inmcm4"
2022,5,276.8751581,289.5580206,20.17673548,122.2776252,"inmcm4"
2022,6,281.3790944,294.0526874,51.24922968,149.4521172,"inmcm4"
2022,7,284.2846725,300.7659749,6.39920074,192.6022737,"inmcm4"
2022,8,284.399321,300.6882966,5.161062216,170.5573852,"inmcm4"
2022,9,279.6527686,297.081982,14.4413769,120.5222452,"inmcm4"
2022,10,274.1083205,285.2652159,48.49167785,47.20933359,"inmcm4"
2022,11,268.8066854,275.1685392,83.12148657,7.991632086,"inmcm4"
2022,12,270.3738759,276.4365387,80.84661582,6.576778785,"inmcm4"
