S1_sobol	ST_sobol	Year	Parameters	Group_orig	Group
0.007892755	0.01102304	1990	a1	Hydrology	A
0.019468069	0.025433561	1998	a1	Hydrology	A
0.004058817	0.00962275	1999	a1	Hydrology	A
0.014099519	0.021572705	1991	a1	Hydrology	A
0.019106481	0.026056681	1995	a1	Hydrology	A
0.008790481	0.010705326	1992	a1	Hydrology	A
0.006955091	0.007387977	1993	a1	Hydrology	A
0.008854158	0.010817464	1994	a1	Hydrology	A
0.008179068	0.015045145	2000	a1	Hydrology	A
0.004733803	0.013119032	1997	a1	Hydrology	A
0.007746453	0.010881084	1996	a1	Hydrology	A
0.000149244	1.53E-05	1998	a2	Hydrology	A
0.000281741	0.000454157	1999	a2	Hydrology	A
0	1.13E-07	1990	a2	Hydrology	A
0	1.74E-07	1992	a2	Hydrology	A
6.60E-07	1.74E-07	1994	a2	Hydrology	A
0	1.88E-05	1995	a2	Hydrology	A
0	0.00079891	1997	a2	Hydrology	A
0	1.46E-06	1993	a2	Hydrology	A
0	6.91E-07	1991	a2	Hydrology	A
0	0.000631054	2000	a2	Hydrology	A
0.001003831	0.000213039	1996	a2	Hydrology	A
0.001241879	0.000423555	1990	a3	Hydrology	A
0.002320548	0.00165364	1995	a3	Hydrology	A
0.003588661	0.005628846	2000	a3	Hydrology	A
0.006905836	0.004038221	1992	a3	Hydrology	A
0.004883606	0.002533696	1994	a3	Hydrology	A
0.000967408	0.000271971	1991	a3	Hydrology	A
0.004131863	0.013509391	1997	a3	Hydrology	A
0.002133957	0.002545384	1998	a3	Hydrology	A
0.011659699	0.013661667	1999	a3	Hydrology	A
0.003642284	0.007551854	1996	a3	Hydrology	A
0.002091703	0.001230354	1993	a3	Hydrology	A
6.57E-05	8.73E-05	1990	a4	Hydrology	A
0.001084664	0.001081091	1992	a4	Hydrology	A
0.000906036	0.000714041	1994	a4	Hydrology	A
0.000110932	7.21E-05	1991	a4	Hydrology	A
0.000460093	0.000417707	1995	a4	Hydrology	A
0.000384746	0.000532974	1998	a4	Hydrology	A
0.000526013	0.001132135	1999	a4	Hydrology	A
0.000422641	0.000513548	1996	a4	Hydrology	A
6.73E-05	0.000181941	1993	a4	Hydrology	A
0	0.001618437	1997	a4	Hydrology	A
0.000141292	0.000435235	2000	a4	Hydrology	A
0.001189208	0.001457554	1994	b1	Biomass	B
0.000278604	0.000400251	1990	b1	Biomass	B
0.001310301	0.001756229	1996	b1	Biomass	B
0.001034776	0.001322185	1999	b1	Biomass	B
0.000992834	0.001263774	1995	b1	Biomass	B
0.000592845	0.00109985	1998	b1	Biomass	B
0.000782087	0.001020218	1993	b1	Biomass	B
0.000703343	0.000908279	2000	b1	Biomass	B
0.002959343	0.002802218	1992	b1	Biomass	B
0.000332068	0.000393439	1991	b1	Biomass	B
0.000527961	0.000787831	1997	b1	Biomass	B
0	0	1994	b2	Biomass	B
0	0	1998	b2	Biomass	B
0	0	1996	b2	Biomass	B
0	0	1992	b2	Biomass	B
0	0	1997	b2	Biomass	B
0	0	1999	b2	Biomass	B
0	0	1990	b2	Biomass	B
0	0	1995	b2	Biomass	B
0	0	1991	b2	Biomass	B
0	0	2000	b2	Biomass	B
0	0	1993	b2	Biomass	B
0.00769854	0.009130615	1990	b3	Biomass	B
0.022244897	0.026776847	1996	b3	Biomass	B
0.022904083	0.025796619	1995	b3	Biomass	B
0.023170504	0.026579605	1998	b3	Biomass	B
0.017909378	0.02193244	1994	b3	Biomass	B
0.020709939	0.024106334	2000	b3	Biomass	B
0.018208145	0.023428636	1992	b3	Biomass	B
0.015747167	0.019822758	1999	b3	Biomass	B
0.007499568	0.008725905	1991	b3	Biomass	B
0.019719705	0.023606315	1997	b3	Biomass	B
0.023600567	0.025225958	1993	b3	Biomass	B
0	0	1998	b4	Biomass	B
0	0	1990	b4	Biomass	B
0	0	1994	b4	Biomass	B
0	0	1991	b4	Biomass	B
0	0	1999	b4	Biomass	B
0	0	2000	b4	Biomass	B
0	0	1992	b4	Biomass	B
0	0	1996	b4	Biomass	B
